GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black,percentage,total_weight,,
2300600,1,0,0,0,0,0,1,0,0,1,2.3,7,0.161241674,
2300600,1,0,0,0,0,0,1,0,1,0,6.9,102,7.053691187,
2300600,1,0,0,0,0,0,1,1,0,0,3.1,3091,94.32608865,
2300600,1,0,0,0,0,1,0,0,0,1,9.9,23,2.285571259,
2300600,1,0,0,0,0,1,0,1,0,0,3.0,3278,98.88240271,
2300700,0,0,0,0,1,0,1,1,0,0,32.1,1340,430.7170783,
2300700,0,0,0,0,1,1,0,1,0,0,26.5,931,246.2881824,
2300700,0,0,0,1,0,0,1,0,1,0,27.9,6,1.673446838,
2300700,0,0,0,1,0,0,1,1,0,0,15.4,1947,299.3009725,
2300700,0,0,0,1,0,1,0,1,0,0,12.6,1108,139.7610165,
2300700,0,0,1,0,0,0,1,1,0,0,8.2,2196,180.2642417,
2300700,0,0,1,0,0,1,0,0,1,0,8.1,27,2.186327877,
2300700,0,0,1,0,0,1,0,1,0,0,6.8,1920,130.3014499,
2300700,0,1,0,0,0,0,1,1,0,0,4.9,3311,160.6162921,
2300700,0,1,0,0,0,1,0,0,0,1,6.8,17,1.163189261,
2300700,0,1,0,0,0,1,0,1,0,0,4.2,3058,127.6724786,
2300700,1,0,0,0,0,0,1,0,0,1,4.5,3,0.133700941,
2300700,1,0,0,0,0,0,1,0,1,0,6.0,55,3.305120771,
2300700,1,0,0,0,0,0,1,1,0,0,2.7,4404,119.2934527,
2300700,1,0,0,0,0,1,0,1,0,0,2.5,3562,88.71516804,
2300800,0,0,0,0,1,0,1,0,1,0,42.9,12,5.152756684,
2300800,0,0,0,0,1,0,1,1,0,0,32.3,2955,953.5331402,
2300800,0,0,0,0,1,1,0,0,1,0,45.5,13,5.916942837,
2300800,0,0,0,0,1,1,0,1,0,0,27.8,1328,368.8354286,
2300800,0,0,0,1,0,0,1,0,0,1,26.2,42,10.98660133,
2300800,0,0,0,1,0,0,1,0,1,0,19.7,23,4.532485115,
2300800,0,0,0,1,0,0,1,1,0,0,16.6,2522,419.5207383,
2300800,0,0,0,1,0,1,0,1,0,0,13.3,1816,241.2284214,
2300800,0,0,1,0,0,0,1,0,0,1,16.2,64,10.36111842,
2300800,0,0,1,0,0,0,1,0,1,0,16.5,42,6.916126543,
2300800,0,0,1,0,0,0,1,1,0,0,8.8,3359,296.1023445,
2300800,0,0,1,0,0,1,0,0,0,1,18.3,68,12.43331128,
2300800,0,0,1,0,0,1,0,0,1,0,11.9,83,9.83835852,
2300800,0,0,1,0,0,1,0,1,0,0,7.4,3419,251.9651624,
2300800,0,1,0,0,0,0,1,0,0,1,14.1,21,2.963858308,
2300800,0,1,0,0,0,0,1,0,1,0,6.1,58,3.557792908,
2300800,0,1,0,0,0,0,1,1,0,0,5.1,5654,288.7802534,
2300800,0,1,0,0,0,1,0,0,1,0,7.5,69,5.17993074,
2300800,0,1,0,0,0,1,0,1,0,0,4.2,5321,224.7584675,
2300800,1,0,0,0,0,0,1,0,1,0,3.9,41,1.598492841,
2300800,1,0,0,0,0,0,1,1,0,0,3.0,7006,206.8182928,
2300800,1,0,0,0,0,1,0,1,0,0,2.6,6554,169.42412,
2300900,0,0,0,0,1,0,1,1,0,0,32.0,2316,741.0505251,
2300900,0,0,0,0,1,1,0,1,0,0,28.7,883,253.2592282,
2300900,0,0,0,1,0,0,1,0,1,0,27.9,1,0.278907806,
2300900,0,0,0,1,0,0,1,1,0,0,15.3,1571,240.3122168,
2300900,0,0,0,1,0,1,0,0,1,0,21.4,30,6.423363837,
2300900,0,0,0,1,0,1,0,1,0,0,13.0,1860,241.1110712,
2300900,0,0,1,0,0,0,1,1,0,0,9.1,2714,245.7368006,
2300900,0,0,1,0,0,1,0,1,0,0,6.7,2058,138.0903208,
2300900,0,1,0,0,0,0,1,0,1,0,6.7,78,5.255182876,
2300900,0,1,0,0,0,0,1,1,0,0,4.7,4292,202.7867087,
2300900,0,1,0,0,0,1,0,0,1,0,9.1,45,4.115892513,
2300900,0,1,0,0,0,1,0,1,0,0,4.0,3350,133.9697124,
2300900,1,0,0,0,0,0,1,0,1,0,3.8,34,1.304558875,
2300900,1,0,0,0,0,0,1,1,0,0,2.9,4449,129.6715044,
2300900,1,0,0,0,0,1,0,1,0,0,2.4,4060,97.82599278,
2301000,0,0,0,0,1,0,1,0,0,1,54.2,95,51.47241251,
2301000,0,0,0,0,1,0,1,0,1,0,42.9,8,3.435171122,
2301000,0,0,0,0,1,0,1,1,0,0,34.5,1591,549.2897326,
2301000,0,0,0,0,1,1,0,0,0,1,54.7,21,11.47949385,
2301000,0,0,0,0,1,1,0,0,1,0,40.0,11,4.395119076,
2301000,0,0,0,0,1,1,0,1,0,0,28.6,925,264.4153331,
2301000,0,0,0,1,0,0,1,0,1,0,27.9,34,9.482865414,
2301000,0,0,0,1,0,0,1,1,0,0,15.1,1190,180.1533867,
2301000,0,0,0,1,0,1,0,1,0,0,13.4,988,132.4833624,
2301000,0,0,1,0,0,0,1,0,1,0,13.6,30,4.071559758,
2301000,0,0,1,0,0,0,1,1,0,0,8.3,2508,208.7462198,
2301000,0,0,1,0,0,1,0,0,1,0,21.6,23,4.956721996,
2301000,0,0,1,0,0,1,0,1,0,0,7.2,1385,99.26417803,
2301000,0,1,0,0,0,0,1,0,0,1,15.5,2,0.310980979,
2301000,0,1,0,0,0,0,1,0,1,0,11.3,37,4.178579778,
2301000,0,1,0,0,0,0,1,1,0,0,4.5,2435,110.4972333,
2301000,0,1,0,0,0,1,0,0,0,1,34.8,50,17.42046278,
2301000,0,1,0,0,0,1,0,0,1,0,8.4,45,3.771478261,
2301000,0,1,0,0,0,1,0,1,0,0,4.0,1869,75.15503063,
2301000,1,0,0,0,0,0,1,0,0,1,6.8,39,2.670624576,
2301000,1,0,0,0,0,0,1,1,0,0,2.8,3578,99.95016845,
2301000,1,0,0,0,0,1,0,0,0,1,9.1,126,11.42620989,
2301000,1,0,0,0,0,1,0,0,1,0,3.5,25,0.865790312,
2301000,1,0,0,0,0,1,0,1,0,0,2.3,3380,79.30701509,
