GEOID,percentage
4355,4.353156203
4357,12.88832766
4358,15.07708994
4359,26.54974582
4360,8.297706464
4363,16.60250691
4364,6.056621981
4395,0
4401,12.17096621
4402,26.27916817
4406,8.382633617
4408,19.67089952
4410,9.377434997
4411,0
4412,8.842219957
4413,0
4414,7.129845798
4415,12.23085277
4416,11.24999312
4417,0
4418,16.68448068
4419,10.67227916
4420,0
4421,1.975987171
4422,24.07028155
4424,14.64133159
4426,8.152157379
4427,22.38002486
4428,5.498626301
4429,8.849975417
4430,16.43785424
4431,35.83440693
4432,0
4434,0
4435,8.868854246
4438,16.73920196
4441,4.556527636
4442,7.471325708
4443,10.45858457
4444,5.394783185
4448,13.46255063
4449,5.253192515
4450,3.941994609
4451,32.1777698
4453,24.2920401
4454,17.15476763
4455,11.30415729
4456,7.480768616
4457,13.85811015
4459,0
4460,7.737299284
4461,10.78400402
4462,11.75282834
4463,10.73557977
4464,10.90338607
4468,11.5907808
4469,0
4471,9.357449966
4472,3.369575495
4473,10.90758481
4474,13.79847647
4475,0
4476,18.14871502
4478,0
4479,5.218344257
4481,23.57682819
4485,25.01305584
4487,13.32978861
4488,31.39252344
4489,0
4490,0
4491,3.429744349
4492,0
4493,1.787821214
4495,0
4496,7.78434906
4497,6.065036328
4530,10.74381884
4535,1.822006707
4537,3.768979453
4538,13.25489178
4539,6.171996203
4541,39.86254806
4543,9.388439436
4544,6.367106621
4547,10.02219404
4548,11.38264072
4551,3.69056789
4553,9.938923601
4554,9.659652594
4555,20.84571005
4556,6.897848228
4558,16.63174083
4562,10.89685292
4563,11.49836342
4564,18.06442647
4565,0
4568,10.90617207
4570,0
4571,17.81542438
4572,8.851122191
4573,18.56145325
4574,3.427317037
4575,0
4576,3.481546893
4578,9.183494351
4579,16.138007
4591,0
4600,0
4605,9.731215644
4606,5.050737413
4607,5.388505228
4609,7.568484617
4611,8.009284431
4612,4.51097667
4613,0
4614,7.500474892
4616,4.966515383
4617,9.539993515
4619,11.53975703
4622,5.160714694
4623,18.13457294
4624,2.671446986
4625,0
4626,17.28142062
4627,0.932012855
4628,6.531142205
4629,0
4630,20.6798099
4631,18.77193553
4634,2.853921251
4637,100
4640,5.165625049
4642,14.75208439
4643,12.53697771
4644,0
4645,0
4646,14.3399877
4648,0.659803653
4649,12.74232193
4650,0
4652,7.352564168
4653,3.499437469
4654,12.6047127
4655,16.9081137
4657,4.135632781
4658,16.73642993
4660,8.703039133
4662,5.617334884
4664,11.48271598
4666,10.3181496
4667,19.49157839
4668,17.51153588
4669,41.99086763
4671,13.54706557
4672,34.36582561
4673,0
4674,0
4675,27.77265772
4676,9.732842315
4677,12.35210882
4679,22.31057797
4680,11.47260155
4681,19.54088913
4683,0
4684,1.39953804
4685,30.60261397
4686,0
4687,0
4691,21.96831366
4693,0
4694,17.23687245
4730,11.21639226
4732,6.110802527
4733,0
4734,0
4735,12.35583688
4736,12.211118
4737,0
4738,0
4739,1.963304444
4740,0
4742,9.033166567
4743,3.675625606
4744,0
4745,19.3021938
4746,23.46614062
4747,12.68712623
4750,18.7213955
4756,17.26291324
4757,6.107741227
4758,2.876452689
4760,28.45055364
4761,20.11203388
4762,8.737190246
4763,9.587116153
4765,23.20169438
4766,0
4768,15.26316783
4769,5.970356809
4772,14.79192229
4773,18.05786075
4774,3.296458598
4776,14.39275637
4777,16.60511476
4779,3.470380362
4780,21.6998429
4781,0
4783,11.73696482
4785,6.213341595
4786,10.00617254
4787,6.348666625
4841,9.319097449
4843,5.413317696
4847,6.598407221
4848,14.48749124
4849,11.54453712
4850,38.34435027
4851,0
4852,32.98051674
4853,0
4854,9.665552427
4855,21.48974432
4856,13.54412843
4858,0.373237457
4859,5.47450135
4860,4.988129757
4861,6.512528126
4862,7.810257727
4863,10.01660712
4864,10.67072504
4865,26.25057268
4881,0
4901,14.08428382
4903,0
4910,0
4911,10.53489536
4912,3.73612304
4915,12.17572589
4916,0
4917,9.165738991
4918,39.24144864
4920,7.586617241
4921,16.16462368
4922,12.01768748
4923,22.25341486
4924,9.715877117
4925,5.993137999
4926,0
4927,6.892331739
4928,2.490387888
4929,3.284230677
4930,4.654295979
4932,8.761434877
4933,7.140006983
4935,0
4936,3.608852191
4937,9.706772579
4938,10.9156396
4939,14.14566997
4940,0
4941,17.17155858
4942,14.99133548
4943,6.85733595
4944,0
4945,18.30346841
4947,11.20968961
4948,0
4949,26.61845376
4950,17.59908301
4951,6.18756443
4952,4.851530398
4953,18.72590652
4954,0
4955,12.63941501
4956,7.818568373
4957,13.35287006
4958,13.13136911
4961,5.793664292
4962,0
4963,6.947648739
4964,1.936664119
4965,5.351124728
4966,24.16447265
4967,12.0703486
4969,3.525651429
4970,7.172223831
4971,7.53773271
4972,0
4973,19.24695048
4974,12.53745303
4975,0
4976,9.859373234
4978,10.37426671
4979,9.303123144
4981,3.833211387
4982,2.182241174
4983,6.223663682
4984,23.47412723
4985,0
4986,4.228355856
4987,10.81264814
4988,13.20303863
4989,25.47753369
4992,0
5901,0
6104,0
6268,0
6458,0
9303,0
14270,0
15202,0
17401,0
24463,100
24579,0
24616,100
32129,0
32603,0
34401,0
39207,0
40330,0
40455,0
40490,0
41354,0
43939,0
44041,0
44086,0
44217,0
44236,0
44270,0
44351,0
44401,0
44426,0
44444,46.79528383
44578,0
44676,0
48584,0
49380,0
59552,0
77777,18.53652301
78746,0
90403,0
99999,6.538757846
