GEOID,65-69,70-74,75-79,80-84,85+,Male,Female,Other,Hispanic,Black,percentage,total_weight
2300900,0,1,0,0,0,1,0,0,1,0,8.9,45
2300900,0,1,0,0,0,1,0,1,0,0,5.3,3350
2300900,1,0,0,0,0,0,1,0,1,0,5.8,34
2300900,1,0,0,0,0,0,1,1,0,0,3.4,4449
2300900,1,0,0,0,0,1,0,1,0,0,3.1,4060
2301000,0,0,0,0,1,0,1,0,0,1,56.9,95
2301000,0,0,0,0,1,0,1,0,1,0,47.7,8
2301000,0,0,0,0,1,0,1,1,0,0,34.5,1591
2301000,0,0,0,0,1,1,0,0,0,1,53.8,21
2301000,0,0,0,0,1,1,0,0,1,0,44.7,11
2301000,0,0,0,0,1,1,0,1,0,0,31.8,925
2301000,0,0,0,1,0,0,1,0,1,0,27.2,34
2301000,0,0,0,1,0,0,1,1,0,0,17.8,1190
2301000,0,0,0,1,0,1,0,1,0,0,16.0,988
2301000,0,0,1,0,0,0,1,0,1,0,16.0,30
2301000,0,0,1,0,0,0,1,1,0,0,9.9,2508
2301000,0,0,1,0,0,1,0,0,1,0,14.4,23
2301000,0,0,1,0,0,1,0,1,0,0,8.9,1385
2301000,0,1,0,0,0,0,1,0,0,1,13.7,2
2301000,0,1,0,0,0,0,1,0,1,0,9.9,37
2301000,0,1,0,0,0,0,1,1,0,0,6.0,2435
2301000,0,1,0,0,0,1,0,0,0,1,12.3,50
2301000,0,1,0,0,0,1,0,0,1,0,8.9,45
2301000,0,1,0,0,0,1,0,1,0,0,5.3,1869
2301000,1,0,0,0,0,0,1,0,0,1,8.2,39
2301000,1,0,0,0,0,0,1,1,0,0,3.4,3578
2301000,1,0,0,0,0,1,0,0,0,1,7.3,126
2301000,1,0,0,0,0,1,0,0,1,0,5.2,25
2301000,1,0,0,0,0,1,0,1,0,0,3.1,3380
